"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","lng","lat","cc","state","county","latlng_basis","latlng_precision","geogscale","geogcomments"
"40155","occ","","","3113","Striatolamia sp.","genus","34634","","Striatolamia","genus","34634","Thanetian","","59.2","56","140","-74.683334","39.971943","US","New Jersey","","estimated from map","seconds","local area","""The Vincentown Fm. occurs in an irregular, narrow belt extending diagonally [NE-SW] across NJ through portions of Monmouth, Ocean, burlington, Camden, Gloucester, and Salem Counties, near the inner margin of the Outer Coastal Plain"
"40325","occ","","","3123","Squalicorax pristodontus","species","110987","","Squalicorax pristodontus","species","110986","Late Maastrichtian","","70.6","66","143","5.783333","50.866669","NL","","","based on nearby landmark","minutes","small collection","at Geulhemmerberg"
"41359","occ","","","3260","Hexanchus agassizi","species","34526","species not entered","Hexanchus","genus","34526","Early Eocene","","55.8","48.6","151","0.833333","51.400002","UK","England","Kent","based on political unit","minutes","small collection","Elmley Hills, Isle of Sheppey, near Kingsferry Bridge"
"41360","occ","","","3260","Notorhynchus serratissimus","species","154372","recombined as","Notidanus serratissimus","species","154371","Early Eocene","","55.8","48.6","151","0.833333","51.400002","UK","England","Kent","based on political unit","minutes","small collection","Elmley Hills, Isle of Sheppey, near Kingsferry Bridge"
"41361","occ","","","3260","Squalus minor","species","154377","","Squalus minor","species","154376","Early Eocene","","55.8","48.6","151","0.833333","51.400002","UK","England","Kent","based on political unit","minutes","small collection","Elmley Hills, Isle of Sheppey, near Kingsferry Bridge"
"41362","occ","","","3260","Isurolamna affinis","species","34612","species not entered","Isurolamna","genus","34612","Early Eocene","","55.8","48.6","151","0.833333","51.400002","UK","England","Kent","based on political unit","minutes","small collection","Elmley Hills, Isle of Sheppey, near Kingsferry Bridge"
"41363","occ","","","3260","Lamna inflata","species","34615","species not entered","Lamna","genus","34615","Early Eocene","","55.8","48.6","151","0.833333","51.400002","UK","England","Kent","based on political unit","minutes","small collection","Elmley Hills, Isle of Sheppey, near Kingsferry Bridge"
"41366","occ","","","3260","Eugomphodus macrotus","species","183109","subjective synonym of, species not entered","Carcharias","genus","64190","Early Eocene","","55.8","48.6","151","0.833333","51.400002","UK","England","Kent","based on political unit","minutes","small collection","Elmley Hills, Isle of Sheppey, near Kingsferry Bridge"
"41367","occ","","","3260","Eugomphodus hopei","species","183109","subjective synonym of, species not entered","Carcharias","genus","64190","Early Eocene","","55.8","48.6","151","0.833333","51.400002","UK","England","Kent","based on political unit","minutes","small collection","Elmley Hills, Isle of Sheppey, near Kingsferry Bridge"
"41368","occ","","","3260","Odontaspis winkleri","species","132648","","Odontaspis winkleri","species","132648","Early Eocene","","55.8","48.6","151","0.833333","51.400002","UK","England","Kent","based on political unit","minutes","small collection","Elmley Hills, Isle of Sheppey, near Kingsferry Bridge"
"41370","occ","","","3260","Abdounia sp.","genus","34638","","Abdounia","genus","34638","Early Eocene","","55.8","48.6","151","0.833333","51.400002","UK","England","Kent","based on political unit","minutes","small collection","Elmley Hills, Isle of Sheppey, near Kingsferry Bridge"
"41371","occ","","","3260","Scyliorhinus sp.","genus","34663","","Scyliorhinus","genus","34663","Early Eocene","","55.8","48.6","151","0.833333","51.400002","UK","England","Kent","based on political unit","minutes","small collection","Elmley Hills, Isle of Sheppey, near Kingsferry Bridge"
"41372","occ","","","3260","Physogaleus secundus","species","34656","species not entered","Physogaleus","genus","34656","Early Eocene","","55.8","48.6","151","0.833333","51.400002","UK","England","Kent","based on political unit","minutes","small collection","Elmley Hills, Isle of Sheppey, near Kingsferry Bridge"
"41373","occ","","","3260","Galeorhinus lefevrei","species","83177","species not entered","Galeorhinus","genus","83177","Early Eocene","","55.8","48.6","151","0.833333","51.400002","UK","England","Kent","based on political unit","minutes","small collection","Elmley Hills, Isle of Sheppey, near Kingsferry Bridge"
"41374","occ","","","3260","Galeorhinus ypresiensis","species","83177","species not entered","Galeorhinus","genus","83177","Early Eocene","","55.8","48.6","151","0.833333","51.400002","UK","England","Kent","based on political unit","minutes","small collection","Elmley Hills, Isle of Sheppey, near Kingsferry Bridge"
"41375","occ","","","3260","Squatina prima","species","156476","","Squatina prima","species","156475","Early Eocene","","55.8","48.6","151","0.833333","51.400002","UK","England","Kent","based on political unit","minutes","small collection","Elmley Hills, Isle of Sheppey, near Kingsferry Bridge"
"41449","occ","","","3263","Myliobatis sp.","genus","34741","","Myliobatis","genus","34741","Middle Eocene","","48.6","37.2","153","-1.316667","51.016666","UK","England","Hants","based on political unit","minutes","small collection","Meanders in the Highland Water from 100m to 500m N of the A35 road "
"41488","occ","","","3265","Abdounia beaugei","species","34638","species not entered","Abdounia","genus","34638","Middle Eocene","","48.6","37.2","153","-1.316667","51.016666","UK","England","Hants","based on political unit","minutes","small collection","N of Warwick Slade, in meanders in the Highland Water N of A35 road"
"41526","occ","","","3257","Squalus minor","species","154377","","Squalus minor","species","154376","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse between Allington Lane and Quob Lane"
"41527","occ","","","3257","Nebrius thielensi","species","34587","species not entered","Nebrius","genus","34587","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse between Allington Lane and Quob Lane"
"41529","occ","","","3257","Hemiscyllium bruxelliense","species","34585","species not entered","Hemiscyllium","genus","34585","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse between Allington Lane and Quob Lane"
"41530","occ","","","3257","Palaeorhincodon wardi","species","34589","species not entered","Palaeorhincodon","genus","34589","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse between Allington Lane and Quob Lane"
"41531","occ","","","3257","Abdounia sp.","genus","34638","","Abdounia","genus","34638","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse between Allington Lane and Quob Lane"
"41532","occ","","","3257","Eostegostoma angusta","species","34583","species not entered","Eostegostoma","genus","34583","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse between Allington Lane and Quob Lane"
"41533","occ","","","3257","Scyliorhinus sp.","genus","34663","","Scyliorhinus","genus","34663","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse between Allington Lane and Quob Lane"
"41534","occ","","","3257","Mustelus vanderhoefti","species","34650","species not entered","Mustelus","genus","34650","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse between Allington Lane and Quob Lane"
"41535","occ","","","3257","Abdounia minutissima","species","34638","species not entered","Abdounia","genus","34638","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse between Allington Lane and Quob Lane"
"41536","occ","","","3257","Isurus novus","species","34613","species not entered","Isurus","genus","34613","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse between Allington Lane and Quob Lane"
"41537","occ","","","3257","Lamna lerichei","species","34615","species not entered","Lamna","genus","34615","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse between Allington Lane and Quob Lane"
"41539","occ","","","3257","Striatolamia macrota","species","66716","","Striatolamia macrota","species","66716","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse between Allington Lane and Quob Lane"
"41540","occ","","","3257","Carcharias hopei","species","64190","species not entered","Carcharias","genus","64190","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse between Allington Lane and Quob Lane"
"41543","occ","","","3257","Carcharias acutissima","species","97236","","Carcharias acutissima","species","97236","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse between Allington Lane and Quob Lane"
"41544","occ","","","3257","Carcharhinidae indet.","family","83183","","Carcharhinidae","family","83183","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse between Allington Lane and Quob Lane"
"41545","occ","","","3257","Physogaleus secundus","species","34656","species not entered","Physogaleus","genus","34656","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse between Allington Lane and Quob Lane"
"41546","occ","","","3257","Galeocerdo latidens","species","154351","","Galeocerdo latidens","species","154351","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse between Allington Lane and Quob Lane"
"41547","occ","","","3257","Galeorhinus lefevrei","species","83177","species not entered","Galeorhinus","genus","83177","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse between Allington Lane and Quob Lane"
"41548","occ","","","3257","Squatina prima","species","156476","","Squatina prima","species","156475","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse between Allington Lane and Quob Lane"
"41551","occ","","","3257","Abdounia recticona","species","34638","species not entered","Abdounia","genus","34638","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse between Allington Lane and Quob Lane"
"41553","occ","","","3257","Dasyatis jaekeli","species","153969","recombined as","Trygon jaekeli","species","153968","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse between Allington Lane and Quob Lane"
"41554","occ","","","3257","Aetobatus sp.","genus","34721","","Aetobatus","genus","34721","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse between Allington Lane and Quob Lane"
"41555","occ","","","3257","Myliobatis sp.","genus","34741","","Myliobatis","genus","34741","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse between Allington Lane and Quob Lane"
"41556","occ","","","3258","Squalus minor","species","154377","","Squalus minor","species","154376","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse between Allington Lane and Quob Lane"
"41557","occ","","","3258","Abdounia minutissima","species","34638","species not entered","Abdounia","genus","34638","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse between Allington Lane and Quob Lane"
"41558","occ","","","3258","Abdounia recticona","species","34638","species not entered","Abdounia","genus","34638","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse between Allington Lane and Quob Lane"
"41559","occ","","","3258","Scyliorhinus gilberti","species","34663","species not entered","Scyliorhinus","genus","34663","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse between Allington Lane and Quob Lane"
"41560","occ","","","3258","Scyliorhinus sp.","genus","34663","","Scyliorhinus","genus","34663","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse between Allington Lane and Quob Lane"
"41561","occ","","","3258","Isurus novus","species","34613","species not entered","Isurus","genus","34613","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse between Allington Lane and Quob Lane"
"41562","occ","","","3258","Striatolamia macrota","species","66716","","Striatolamia macrota","species","66716","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse between Allington Lane and Quob Lane"
"41563","occ","","","3258","Carcharias hopei","species","64190","species not entered","Carcharias","genus","64190","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse between Allington Lane and Quob Lane"
"41564","occ","","","3258","Physogaleus secundus","species","34656","species not entered","Physogaleus","genus","34656","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse between Allington Lane and Quob Lane"
"41565","occ","","","3258","Scoliodon sp.","genus","100438","","Scoliodon","genus","100438","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse between Allington Lane and Quob Lane"
"41566","occ","","","3258","Galeorhinus lefevrei","species","83177","species not entered","Galeorhinus","genus","83177","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse between Allington Lane and Quob Lane"
"41571","occ","","","3258","Dasyatis jaekeli","species","153969","recombined as","Trygon jaekeli","species","153968","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse between Allington Lane and Quob Lane"
"41572","occ","","","3258","Myliobatis sp.","genus","34741","","Myliobatis","genus","34741","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse between Allington Lane and Quob Lane"
"41582","occ","","","3256","Squalus minor","species","154377","","Squalus minor","species","154376","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse, between Allington Lane and Quob Lane"
"41583","occ","","","3256","Nebrius thielensi","species","34587","species not entered","Nebrius","genus","34587","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse, between Allington Lane and Quob Lane"
"41584","occ","","","3256","Hemiscyllium bruxelliense","species","34585","species not entered","Hemiscyllium","genus","34585","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse, between Allington Lane and Quob Lane"
"41585","occ","","","3256","Palaeorhincodon wardi","species","34589","species not entered","Palaeorhincodon","genus","34589","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse, between Allington Lane and Quob Lane"
"41586","occ","","","3256","Abdounia sp.","genus","34638","","Abdounia","genus","34638","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse, between Allington Lane and Quob Lane"
"41587","occ","","","3256","Scyliorhinus gilberti","species","34663","species not entered","Scyliorhinus","genus","34663","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse, between Allington Lane and Quob Lane"
"41588","occ","","","3256","Scyliorhinus sp.","genus","34663","","Scyliorhinus","genus","34663","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse, between Allington Lane and Quob Lane"
"41589","occ","","","3256","Mustelus vanderhoefti","species","34650","species not entered","Mustelus","genus","34650","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse, between Allington Lane and Quob Lane"
"41590","occ","","","3256","Triakis wardi","species","34666","species not entered","Triakis","genus","34666","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse, between Allington Lane and Quob Lane"
"41591","occ","","","3256","Isurus novus","species","34613","species not entered","Isurus","genus","34613","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse, between Allington Lane and Quob Lane"
"41592","occ","","","3256","Lamna lerichei","species","34615","species not entered","Lamna","genus","34615","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse, between Allington Lane and Quob Lane"
"41594","occ","","","3256","Striatolamia macrota","species","66716","","Striatolamia macrota","species","66716","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse, between Allington Lane and Quob Lane"
"41595","occ","","","3256","Carcharias hopei","species","64190","species not entered","Carcharias","genus","64190","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse, between Allington Lane and Quob Lane"
"41596","occ","","","3256","Carcharias acutissima","species","97236","","Carcharias acutissima","species","97236","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse, between Allington Lane and Quob Lane"
"41597","occ","","","3256","Carcharhinidae indet.","family","83183","","Carcharhinidae","family","83183","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse, between Allington Lane and Quob Lane"
"41598","occ","","","3256","Physogaleus secundus","species","34656","species not entered","Physogaleus","genus","34656","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse, between Allington Lane and Quob Lane"
"41599","occ","","","3256","Galeocerdo latidens","species","154351","","Galeocerdo latidens","species","154351","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse, between Allington Lane and Quob Lane"
"41600","occ","","","3256","Galeorhinus lefevrei","species","83177","species not entered","Galeorhinus","genus","83177","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse, between Allington Lane and Quob Lane"
"41601","occ","","","3256","Squatina prima","species","156476","","Squatina prima","species","156475","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse, between Allington Lane and Quob Lane"
"41606","occ","","","3256","Dasyatis jaekeli","species","153969","recombined as","Trygon jaekeli","species","153968","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse, between Allington Lane and Quob Lane"
"41607","occ","","","3256","Aetobatus sp.","genus","34721","","Aetobatus","genus","34721","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse, between Allington Lane and Quob Lane"
"41608","occ","","","3256","Myliobatis sp.","genus","34741","","Myliobatis","genus","34741","Early Eocene","Middle Eocene","55.8","37.2","149","-1.166667","51.083332","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse, between Allington Lane and Quob Lane"
